strekkode;vare;beskrivelse;kategori;enhet
7041611019107;Gulrotbrød 750 g;Bakehuset;mat;stk
7041611019190;Yoghurtbrød 750.0 g;Bread;mat;stk
7041611019237;Grenlandsbrødet;Bakehuset;mat;stk
7041611019251;Tønsberg Brød;Fk Eik- Bakehuset;mat;stk
7041611019534;Omega Brød;Martens;mat;stk
7041611038009;Hveteboller 400g;Bakehuset;mat;stk
7041611051343;Brownie 520g Bakehuset;Bakehuset direkte;mat;stk
7041611054788;Sjokoladekake 15 Biter 1,64kg Bakehuset 1640 g;Bakehuset direkte;mat;stk
7041611054801;Sjokoladekake 30 Biter 3,4kg Bakehuset 3400 g;Bakehuset direkte;mat;stk
7041611054849;Vaniljedrøm Mandelbunn 15 Biter 1,77kg 1775 g;Bakehuset direkte;mat;stk
7041611054962;Wienerkringle Makr/Eple 30 Biter 2,25kg;Bakehuset direkte;mat;stk
7041611055266;Fastelaven boller;Bakehuset;mat;stk
7041611056157;Napoleonskake 2pk 350g Meny 350 g;Bakehuset direkte;mat;stk
7041611056164;Marsipankake 2pk 310g Meny 310 g;Bakehuset direkte;mat;stk
7041611056171;Ostekake m/Pasjonsfrukt 2pk 380g Meny 0.38 g;Bakehuset direkte;mat;stk
7041611056188;Sjokoladekake 2pk 320g Meny 320 g;Bakehuset direkte;mat;stk
7041611056232;Marsipankake m/Syltetøy 8 Biter 1kg Meny 1000 g;Bakehuset direkte;mat;stk
7041611056249;Ostekake m/Pasjon 8 Biter 1kg Meny 1000 g;Bakehuset direkte;mat;stk
7041611058090;Kokosmakron;Bakerhuset;mat;stk
7041611059103;Napoleons Kake 350 g;Bakehuset direkte;mat;stk
7041611059110;Marsipankake 310 g;Bakehuset;mat;stk
7041611059127;Ostekake m/ Pasjonsfrukt 2pk;Bakehuset;mat;stk
7041611059134;Sjokoladekake 2pk 320g Bakehuset 320 g;Bakehuset direkte;mat;stk
7041611100249;Grovbrød Skårer;Bakehuset;mat;stk
7041612058167;Berlinerbolle m/Vanilje Bakehuset 80 g;Bakehuset grossist;mat;stk
7041614000034;Jærbrød;Bakehuset Bryne;mat;stk
7041614000201;Rullekake Sjoko Ministang 400g Bakehuset 400 g;Bakehuset direkte;mat;stk
7041614000669;SETERBRØD 500 g;VÅRE MINSTE;mat;stk
7041614000676;Åkerbrød;Bakehuset;mat;stk
7041614000775;Burgerbrød 4stk 320g Jacobs Utvalgte;Bakehuset grossist;mat;stk
7041614000782;Pølsebrød 8stk 520g Jacobs Utvalgte;Bakehuset grossist;mat;stk
7041614000867;Hverdagsgrovt 750 g;Bakerhuset;mat;stk
7041614000881;Skolebrød;Kiwi;mat;stk
7041614001017;Flerkornbrød 750g Bakehuset;Bakehuset grossist;mat;stk
7041614001161;Vaniljedrøm glutenfri 15 Biter Bakehuset 1775 g;Bakehuset direkte;mat;stk
7041614001321;Kjernebrød glutenfri 500g Bakehuset 500 g;Bakehuset direkte;mat;stk
7041614001451;Gullkorn Brød 500g Joker 500 g;Bakehuset grossist;mat;stk
7041614001758;Farsdagskake Marsipan 8 Bit;Bakehuset;mat;stk
7041614001789;Maikake Marsipan 8bit;Bakehuset;mat;stk
7041614002021;Smørbrødkjeks 288g;Bakehuset;mat;stk
7041614002038;Kakemenn 330g;Bakerhuset;mat;stk
7041614002182;Lussekatter;Bakerhuset AS;mat;stk
7041614002274;Pepppekakedeig;Meny;mat;stk
7041614002816;Reale lomper 260g;Bakehuset;mat;stk
7041614002823;Reale Lomper Spelt;Bakehuset;mat;stk
7041614003202;Frokodtbrød;Bakehuset;mat;stk
7041614003219;Halvgrove Frokostbrød;Bakehuset;mat;stk
7041614003332;Kanelboller 340 g;Bakehuset direkte;mat;stk
7041614003868;Kneippbrød Holdbar Skåret 750g Bakehuset 750 g;Bakehuset direkte;mat;stk
7041614003875;Havrebrød Holdbar Skåret 750g Bakehuset 750 g;Bakehuset direkte;mat;stk
7041614003882;Bakehuset Flerkorn (i skiver) 750g 750 g;Bakehuset direkte;mat;stk
7041614003905;Toast kneip 1 kg;Coop;mat;stk
7041614004032;Skolebrød;Våre Lokale;mat;stk
7041614005169;Vollkornbrot 250g Bakehuset 250;Bakehuset direkte;mat;stk
7041614005237;Gøttekællær (Kakemenn);Bakehuset;mat;stk
7041614005930;Et lite familiebrød;;mat;stk
7041614006043;Dripcake Sjoko/Bringebær 15 Biter Jacobs 3015 g;Bakehuset direkte;mat;stk
7041614006050;Dripcake Oreo 15 Biter 2615 g;Bakehuset direkte;mat;stk
7041614006265;Sjokolade Formkake 270 g;Bakehuset;mat;stk
7041614006333;Brioche burgerbrød;Dagens burger;mat;stk
7041614006371;Gulrotbrød;Bakehuset;mat;stk
7041614006562;Funkygine Fiberbrød 700 g;Bakehuset direkte;mat;stk
7041614006654;Julebrød 600 gram;Bakehuset;mat;stk
7041614006838;Berlinerbolle m/Bringebær 80g Bakehuset;Bakehuset grossist;mat;stk
7041614006876;Toast Loff 660 g;Bakehuset;mat;stk
7041614006883;Toast Kneip 660 g;Bakehuset direkte;mat;stk
7041614006913;Toast Loaf;Bakehuset;mat;stk
7041614006937;Superkneipp 900g Bakehuset;Bakehuset direkte;mat;stk
7041614007101;Marsipankake 15 Biter 1,88kg Meny;Bakehuset direkte;mat;stk
7041614007125;Marsipankake 30 Biter 4,84kg Meny;Bakehuset direkte;mat;stk
7041614007149;Bløtkake 15 Biter 1,71kg Meny 1710 g;Bakehuset direkte;mat;stk
7041614007163;Bløtkake 30 Biter 3,69kg Meny;Bakehuset direkte;mat;stk
7041614007187;Bamsekake 20 Biter 1,6kg Meny 1600 g;Bakehuset direkte;mat;stk
7041614007217;Kransekake 18 Ringer 1,05kg Meny 1050 g;Bakehuset direkte;mat;stk
7041614007231;Pølsebrød Hurra 8stk 320g Bakehuset 320 g;Bakehuset grossist;mat;stk
7041614007248;Burgerbrød Hurra 6stk 480g Bakehuset 480 g;Bakehuset grossist;mat;stk
7041614007255;Reale grove pølsebrød;Bakehuset grossist;mat;stk
7041614007262;Burgerbrød Grove 6stk 480g Reale 480 g;Bakehuset grossist;mat;stk
7041614007286;Reale Sesam Burgerbrød 6 x 90 g;Bakehuset;mat;stk
7041614007309;Burgerbrød Brioche 6stk 450g Reale;Bakehuset grossist;mat;stk
7041614007378;12 stk Myk & Rund Fullkorn uten hele korn 450 g;Myk og rund;mat;stk
7041614007385;Myk & Rund Hvete 450 g;Bakehuset grossist;mat;stk
7041614007507;Rosinboller;Baker huset;mat;stk
7041614007514;Sjokoladeboller 4stk Bakehuset;Bakehuset direkte;mat;stk
7041614007835;Kornbrød Grovt 750g Våre Groveste 750 g;Bakehuset direkte;mat;stk
7041614007842;SPELTBRØD 620 g;Bakehuset;mat;stk
7041614007859;Matpakkebrød 680g Våre Groveste;Bakehuset direkte;mat;stk
7041614007866;Havrebrød 750g Våre Groveste;Bakehuset direkte;mat;stk
7041614007880;Matkabrød;Bakehuset;mat;stk
7041614007897;Surdeigsbrød;Bekarens utvalgte;mat;stk
7041614007903;Kornbrød 680g Bakerens Utvalgte 680 g;Bakehuset direkte;mat;stk
7041614007910;Gourmetloff 520g Bakerens Utvalgte 520 g;Bakehuset direkte;mat;stk
7041614007927;SPELTBRØD 530 g;Bakehuset;mat;stk
7041614007941;Grovbrød 750g Våre Groveste 750 g;Bakehuset direkte;mat;stk
7041614007965;Matpakkebrød Skåret 680g Våre Groveste 680 g;Bakehuset direkte;mat;stk
7041614008085;Norsk Fjellbrød Skåret 750g Bakehuset 750 g;Bakehuset direkte;mat;stk
7041614008115;Julius Brød Skåret 750g Bakehuset 750 g;Bakehuset direkte;mat;stk
7041614008122;Toast Bread;Formloff;mat;stk
7041614008139;fiberstykker 225 g;Bakehuset;mat;stk
7041614008177;Havre- & Surdeigsbrød Langtidshevet 530 g;Bakerens Utvalgte;mat;stk
7041614008184;Havrebrød Skåret 750g Våre Groveste 750 g;Bakehuset direkte;mat;stk
7041614008610;Rundstykker 180 g;Bakehuset direkte;mat;stk
7041614008627;Rundstykke Kneipp 3stk 180g Bakehuset 180 g;Bakehuset direkte;mat;stk
7041614008771;Havrebrix;Bakehuset;mat;stk
7041614008801;Ostehorn;Bunnpris;mat;stk
7041614008818;Ostebaguette 130g Bakehuset 130 g;Bakehuset direkte;mat;stk
7041614008825;Frøbaguette 100g Bakehuset 100;Bakehuset direkte;mat;stk
7041614008832;Fullkornsbaguette;Bakehuset;mat;stk
7041614008856;Wafel;;mat;stk
7041614008863;Bergensk skillingsbolle;Bakehuset;mat;stk
7041614008887;Sommerbolle;Bakehuset;mat;stk
7041614008900;Tacobolle 129g;Bakehuset;mat;stk
7041614008931;Skårne Wienerbrød;Kiwi;mat;stk
7041614008955;Marengsbunn 180g Bakehuset 180 g;Bakehuset direkte;mat;stk
7041614009006;Pølsebrød Sesam 8stk 368g Reale;Bakehuset grossist;mat;stk
7041614009013;Burgerbrød Sesam 2stk 180g Reale;Bakehuset grossist;mat;stk
7041614009044;Burgerbrød Grove 2stk 160g Reale;Bakehuset grossist;mat;stk
7041614009075;Focaccia;Bakehuset;mat;stk
7041614009143;Kanelknute;;mat;stk
7041614009389;Lemon Poppyseed Formkake 270g;Bakehuset;mat;stk
7041614009402;Focaccia Olivenolje & Rosmarin;Bakehuset;mat;stk
7041614009488;Donut med Sjokolade;Bakehuset;mat;stk
7041614009594;Proffe Pølsebrød 8 x 56g;Bakehuset;mat;stk
7041614009693;Myk&Rund Spelt 12stk 450g Bakehuset;Bakehuset grossist;mat;stk
7041614009921;Sesam&Solsikkebrød 680g Bakerens Utvalgte 680 g;Bakehuset direkte;mat;stk
7041614010095;Brioche;Polsebrod;mat;stk
7041614010194;Sesam Pølsebrød 400g;Bakehuset;mat;stk
7041614010200;Grove Pølsebrød 410 g;Bakehuset;mat;stk
7041614010217;Grove Burgerbrød 160 g;Bakehuset;mat;stk
7041614010224;Real Burger Brød;Bakerhuset;mat;stk
7041614010231;Brioche Burgerbrød;Bakehuset;mat;stk
7041614010286;Wrap med Taco 240 g;Bakehuset;mat;stk
7041614010309;Brioche Burgerbrød;Bakehuset;mat;stk
7041614010385;Litago Boller 315g;Bakehuset;mat;stk
7041614010392;Kaneldrøm 450g;Bakehuset;mat;stk
7041614010651;Havrestykke;Bakerens utvalgte;mat;stk
7041614010811;Berlinerbolle Vanilje 100g;Bakehuset;mat;stk
7041614010903;Pepperkakedeig 900g;Meny;mat;stk
7041614020155;Croissant;Bakerhuset;mat;stk
7041614020247;Brox korn 420 g;Bakehuset;mat;stk
7041614020292;Rustikk Landbrød;Baker huset;mat;stk
7041614020308;Flerkornbrød;Bakehuset;mat;stk
7041614020353;Sjokoladekake 2pk;Bakehuset;mat;stk
7041614020407;Rundstekt Kornbrød;Bakerhuset;mat;stk
7041614020544;Brioche Toast Loff;Bakerhuset;mat;stk
7041614020551;Mini Brioche Burgerbrød;Bakehuset;mat;stk
7041614020704;Funkygine protein brød;Bakehuset;mat;stk
7041614020711;Nougat Croissant;Bakehuset;mat;stk
7041614021114;Spicy Ostesnurr;Bakehuset;mat;stk
7041614021152;Klassik Rundtent Brød;Hverdah Kniepp;mat;stk
7041614021237;Familie brod;Bakehuset;mat;stk
7041614021244;Grovbrød 750 g;Bakehuset;mat;stk
7041614021435;Grove Kornstykker 2 x 80g;Kiwi;mat;stk
7041614021558;Solsikkebrød;Bakerens Utvalgte;mat;stk
7041614021626;Linfrøbrød;;mat;stk
7041614021725;Ostekake;Balerhuset;mat;stk
7041614021763;Reale lomper;Bakehuset;mat;stk
7041614021770;Reale Lomper 10stk 260g;Bakehuset;mat;stk
7041614021787;Speltlomper;Reale;mat;stk
7041614021794;Reale Speltlomper 8stk 260g;Bakehuset;mat;stk
7041614021817;Reale Lefser;Bakehuset;mat;stk
7041614021848;Halvgrove Sesamstykker;Bakehuset;mat;stk
7041614021893;Brix;Valmue;mat;stk
7041614021930;Fine Rundstykker;Bakehuset;mat;stk
7041614021947;Kneipprundstykker;Bajehuset;mat;stk
7041614022142;2pk Ostebaguette 260 g;Bakehuset;mat;stk
7041614022159;Piadina Original;Bakehuset;mat;stk
7041614022173;Piadina Hvitløk;Bakehuset;mat;stk
7041614022197;Baguette Fin;Bakehuset;mat;stk
7041614022401;Gulrotstykke;Bakehuset;mat;stk
7041614022517;Wienerbrød;Bakerhuset AS;mat;stk
7041614022609;Gulrotkake;Bakehuset;mat;stk
7041614022890;Marsipankake;Bakerhuset;mat;stk
7041614022975;Focaccia;Bakehuset;mat;stk
7041614022982;Focaccia Hvitløk Og Ost;Bakehuset;mat;stk
7041614023101;Grovbrød Med Spiret Rug;Bakerens Utvalgte;mat;stk
7041614023118;Spelt- og Solsikkebrød;BAKERENS UTVALGTE;mat;stk
7041614023149;Våre Minste Gårdsbrød;Bakehuset;mat;stk
7041614023200;Solbolle;Bakehuset;mat;stk
7041614023262;Proteinrundstykker;Bakehuset;mat;stk
7041614023286;Stort Horn;Bakehuset;mat;stk
7041614023293;Vaniljebolle Med Sjokolade 160g;Bakehuset;mat;stk
7041614023361;Sjokolademousse;Bakeehuset;mat;stk
7041614023415;Grovt Surdeigsbrød;Bakehuset;mat;stk
7041614023545;Hvete Bolle;Bakehuset;mat;stk
7041614023552;Dagsferske Rosinboller 4stk 280g;Bakehuset;mat;stk
7041614023569;Dagsferske Sjokoboller;Bakehuset;mat;stk
7041614023613;3-kornbrød Med Spiret Rug;Jacobs Utvalgte;mat;stk
7041614023620;Surdeig Med Qinoa Bread;Jacobs;mat;stk
7041614023668;Kanelknute;Bakerhuset AS;mat;stk
7041614023743;Brix Korn;Bakehuset;mat;stk
7041614023781;Pizzabakeren;Bakehuset;mat;stk
7041614023798;Kebabsnurr;Kiwi;mat;stk
7041614023873;Brytebrød;Bakehuset;mat;stk
7041614023880;Halvgrovt Brytebrød;Bakehuset;mat;stk
7041614023910;Dubai Flødebolle;Bakehuset;mat;stk
7041614024399;Landbrød;Bakerens Utvalgte;mat;stk
7041614024429;Pølsebrød;Kiwi;mat;stk
7041614024436;Burgerbrød Med Sesam;Bakehuset;mat;stk
7041614024559;Kylling & Aioli Wrap;Bakehuset;mat;stk
7041614024566;Taco Wrap;Bakehuset;mat;stk
7041614024641;Havregrøt Med Eple&Kanel;Bakehuset;mat;stk
7041614024931;Biff kebab wrap;Bakehuset;mat;stk
7041614024948;Asiatisk Kylling Wrap;Bakehuset;mat;stk
7041619103112;Melkesjokolade;Freia Hennig Olsen;mat;stk
7041640440231;Brioche Sesam Burgerbrød;;mat;stk
7041710920007;Sprøstekt løk 100 g;Orkla;mat;stk
7041710920304;Mors hjemmebakte Tørrgjær Orginal 60g;Idun;mat;stk
7041710920847;Sprøstekt Løk;PS;mat;stk
7041810002672;Favorito ost;;mat;stk
7041810005703;Korni Sibas 290 g;Kavli o. as hovedlager;mat;stk
7041810005710;Rugkjeks Fullkorn 290g Kavli;Kavli o. as hovedlager;mat;stk
7041810007325;Primula Smøreost Naturell 175 g;Kavli o. as hovedlager;drikke;stk
7041810008537;Salamiost Tube 175 g;O Kavli AS;mat;stk
7041810010059;Jalapeno Ost Tube 175 g;Kavli;drikke;stk
7041810010073;Mager Skinkeost 175g;Kavli;drikke;stk
7041810010134;Magerost Jalapeño 175g;Kavli;drikke;stk
7041810010165;Mager Ost Kylling 175 g;Kavli;mat;stk
7041810010387;Baconost 175 g;Kavli o. as hovedlager;drikke;stk
7041810010394;Skinkeost Tube 175 g;Kavli;drikke;stk
7041810010400;Rekeost 175g;Kavli;drikke;stk
7041810010455;Chili paprika smøreost 175g;Kavli;drikke;stk
7041810010462;Kavli Skinkeost Minitube, 60 g 60 g;O Kavli AS;mat;stk
7041810010479;Curry ananas smøreost 175g;Kavli;drikke;stk
7041810010486;Bacon Ost 60 g;O Kavli AS;drikke;stk
7041810010509;Paprikaost 175 g 175 g;O Kavli AS;mat;stk
7041810011247;Kavli Magerost Soltørket Tomat 175g;KAVLI O. AS;mat;stk
7041810013197;Smøreost med cheddar og chili 175 gram;Kavli;drikke;stk
7041810013746;Karveost 200g Beger Kavli 200 g;Kavli o. as hovedlager;mat;stk
7041810013760;Magerost Jalapeno;Kavli;mat;stk
7041810013784;Magerost Naturell 200g;Kavli;drikke;stk
7041810016136;Hapå 310 g;Kavli o. as hovedlager;mat;stk
7041810016877;Tubeost Chorizo Og Cheddar;Kavli;mat;stk
7041810019786;Juleost smøreost med mild smak av blåmuggost 175g;Kavli;drikke;stk
7041810120666;Min Favoritt med parmasan & Spekeskinke 175g;Kavli;drikke;stk
7041810121038;Cheesy Greens Grillet Paprika Sriracha;Kavli;mat;stk
7041810125098;Cheddar Dipp 180g;Kavli;drikke;stk
7041810125463;Brie Smørost 175g;Kavli;drikke;stk
7041810126972;Skinke Ost;Kavli;mat;stk
7041810128921;Mager Ost Naturell;Kavli;mat;stk
7041810913657;Smøreost med cheddar og chili 18 gram;Kavli;drikke;stk
7041850021183;Speltlomper;Frosta;mat;stk
7041850051586;Speltlomper;Frosts Lefsebakeri;mat;stk
7041850055409;Frosta Hjemmebakt Flatbrød 400g;SPESIALGROSSISTEN AS;mat;stk
7041851551108;Frostalompa;Frosta;mat;stk
7041851551184;Speltlomper;Frosta Lefsebakeri;mat;stk
7041851552051;Frostalefse;Frosta Lefsebakeri;mat;stk
7041860474740;Salvie 40g;Helios;mat;stk
7041910017439;Julepostei;Mills;mat;stk
7041910056865;Delikat Sei 190g;MILLS AS;mat;stk
7041910057282;Appetitt sild nettovekt;MILLS AS;mat;stk
7042007820000;Smile kombucha;;mat;stk
7042044206263;Saucisse Giroux - Giroux;;mat;stk
7042099500026;Coconut chips;Maui&sons;mat;stk
7042110081848;Gourmet Gold Tunfiskmousse 85g;Nestle norge as;mat;stk
7042115003456;suppebuljong 126 g;Maggi;mat;stk
7042115019020;Nestlé Viking Melk usøtet kondensert melk;Nestlé;drikke;stk
7042541901784;Laksefilet Naturell;Norsk Sjømat As;mat;stk
7042541902057;Laks Naturell Med Skinn;Norsk Sjømat AS;mat;stk
7042541902064;Laks Naturell;Norsk Sjømat;mat;stk
7042541902088;Laks;Norsk sjømat;mat;stk
7042541902866;Ørret;Norsk Sjømat;mat;stk
7042541903153;Røkt Laks;Norsk sjømat;mat;stk
7042541903214;Laksfilwt;Seafood Norway;mat;stk
7042961001866;Mini Vårruller Med Grønnsaker;The Food Court Far East;mat;stk
7042961001873;Vårruller Med Grønnsaker;The Food Court Far East;mat;stk
7042961001880;Vår ruller;;mat;stk
7042961002474;Lasagne Bolognese 400 g;Heia Food AS;mat;stk
7042961003129;Gresk pitabrød 420 g;Geia;mat;stk
7042961003327;Bagel;Bread Of The World;mat;stk
7042961003860;Libanesisk Inspirert Brød 333 g, 4 stk;Geia;mat;stk
7042961003884;Cookie Dough, ice cream sandwich 70 gram (95 ml);Eventyr is;mat;stk
7042961004645;Gyoza Chicken;The Food Court;mat;stk
7042961004676;Gyoza Japchae;The Food Court;mat;stk
7042961005857;Sweet mango sorbet;The food court;mat;stk
7042961005864;Strawberry Sorbet;The Food Court;mat;stk
7042961006052;Ciabatta;Bread Of The World;mat;stk
7042961007141;Spinnvill;Coop;mat;stk
7042961007219;Sunshine;Eventyr Is;mat;stk
7042961008704;Dried Mango;The Food court;mat;stk
7042961008711;Dried Peach;The Good Court;mat;stk
7042961009718;Pinsa;Bread Of The World;mat;stk
7042961010530;Crunchy Banana Chips;The Food Court;mat;stk
7042961010615;Bapao Beef 115g;Geia Food;mat;stk
7042961010622;Baopao Chicken 115g;The Food Court;mat;stk
7042961012329;Cheese Snack;Happy Zoo;mat;stk
7042961012572;Croquetas With Ibérico Ham;Terra Solis;mat;stk
7042961012657;Salami Piccante;Napoli Gran Gourmet;mat;stk
7042961013968;Foccaccia Rosemary & Salt;Bread of the world;mat;stk
7042961013999;Pinsa Bunn;Bread Of The World;mat;stk
7042961014019;Sesame Bagels;Bread Of The World;mat;stk
7042961015511;Party Mix Godteri 500 g;Drops Villa;mat;stk
7042961015528;Drops Villa;Sweets & Sugar;mat;stk
7042968001104;Egg-noodles asia 125g;Senso;mat;stk
7042968002019;Kokosmelk 400 ml 400 ml;GEIA FOOD BRAND;mat;stk
7043120000638;Waldemars Vårrull Kylling med Sweet Chili 200g;WALDEMARS AS;mat;stk
7043120000751;Fajitas Kylling med Rømme 200g;WALDEMARS AS;mat;stk
7043120000812;Waldemars Taco Wraps Kjøtt med Rømme 200g;WALDEMARS AS;mat;stk
7043120000843;Waldemars Pastasalat Kylling & Pesto 350g;WALDEMARS AS;mat;stk
7043120001833;Syltet Rødløk 280g;WALDEMARS AS;mat;stk
7043120002700;Taco Wrap Med Storfekjøtt 4 stk 640 g;WALDEMARS AS;mat;stk
7043120002731;Wrap Fajita med Kylling;Waldemars;mat;stk
7043120002762;Vårrull Kylling 6stk x 80g;WALDEMARS AS;mat;stk
7043120004247;Vårruller Med Storfekjøtt 6 stk 480 g;WALDEMARS AS;mat;stk
7043120005190;Chili Con Carne;Waldemars;mat;stk
7043120005756;Chili Con Carne;Waldemars;mat;stk
7043120006081;Indisk Vegetargryte;Waldemars;mat;stk
7043120006142;Pastasalat Med Kylling & Pesto;Waldemars;mat;stk
7043120006548;Calzone Med Tacokjøtt;Waldemars;mat;stk
7043120006630;Fajita Wrap;Waldemars;mat;stk
7043120006661;Vårull;Waldemars;mat;stk
7043120008344;Vårrull Med Umami Steinsopp;Waldemars;mat;stk
7043180009626;Den Stolte Hane Grillede Kyllingvinger 500g;DEN STOLTE HANE AS;mat;stk
7043180034420;Den Stolte Hane Grillede Vingeklubber 1,5kg;DEN STOLTE HANE AS;mat;stk
7043180039722;Den Stolte Hane Grillede Kyllingvinger Bbq 1,5kg;DEN STOLTE HANE AS;mat;stk
7043180043026;Den Stolte Hane Kyllinglår Helt Rå Frosne 3kg;DEN STOLTE HANE AS;mat;stk
7043180048328;Den Stolte Hane Vingeklubb Chili og Honning 750g;DEN STOLTE HANE AS;mat;stk
7043180048823;Kyllingfilet 750 g 750 g;Den Stolte Hane AS;mat;stk
7043180054121;Spiseklar kyllingfilet 200 gram;DEN STOLTE HANE AS;mat;stk
7043180054220;Spiseklar Soltørket Tomat Kyllingfilet 200g;Den Stolte Hane;mat;stk
7043180060825;Den Stolte Hane Kylling Vingemix 3kg;DEN STOLTE HANE AS;mat;stk
7043180061723;Stekt & spiseklar kyllingfilet;Den stolte hane;mat;stk
7043180067220;Partyvinger med soltørket tomat;DEN STOLTE HANE AS;mat;stk
7043180067824;Stekt & Spiseklar kyllingspyd 180g;Den Stolte Hane;mat;stk
7043180068029;thai kyllingspyd 180 g;Den Stolte Hane;mat;stk
7043180068227;Den Stolte Hane Kyllingmiks bbq 800g;DEN STOLTE HANE AS;mat;stk
7043180068524;Spiseklar Kreolsk Tomat Kyllingfilet 200 gram;Den Stolte Hane AS;mat;stk
7043180075423;Den Stolte Hane Kyllinglår Gårdsklekket 260g;DEN STOLTE HANE AS;mat;stk
7043180075720;Den Stolte Hane Kyllingfilet i biter 550g;DEN STOLTE HANE AS;mat;stk
7043180076321;Kyllingbryst Med Hvitløk Og Urter;DEN STOLTE HANE AS;mat;stk
7043180076420;Den Stolte Hane Kyllinglår Gårdskl.Soltørket Tomat;DEN STOLTE HANE AS;mat;stk
7043180076529;Kjøttdeig Av 100% Kyllingfilet 325 g;Den Stolte Hane AS;mat;stk
7043180080922;Kylling Lårfilet Stekt & Spiseklar Taco 200 g;Den Stolte Hane AS;mat;stk
7043180081127;Lårfilet;Den Stolte Hane;mat;stk
7043180083121;Den Stolte Hane Grillede Kyllinglår 850g;DEN STOLTE HANE AS;mat;stk
7043180084722;Den Stolte Hane Kylling Lårfilet Paprika 200g;DEN STOLTE HANE AS;mat;stk
7043180084920;Den Stolte Hane Planteprotein Spicy Paprika;DEN STOLTE HANE AS;mat;stk
7043180085026;Kyllingfilet;DEN STOLTE HANE AS;mat;stk
7043180087426;Chicken Sticks 190g;Snack King;mat;stk
7043180087624;Paprika BBQ strimlet kylling 300g;Den Stolte Hane;mat;stk
7043180087723;Red Hot Crispy Wings 285g;Snack King;mat;stk
7043180088225;Kyllingvinger Naturell;Den Stolte Hane;mat;stk
7043180088522;Dennis' Spicy Nuggets 190g;Snack King;mat;stk
7043180088829;Vinger Barbeque;Den Stolte Hane;mat;stk
7043180088928;vingeklubber;den stolte hane;mat;stk
7043180089024;Krydrede Og Grillede Vinger Av Kylling Fra Jæren;Den Stolte Hane;mat;stk
7043180089123;Spiseklar kyllingfilet i skiver soltørket tomat;Den stolte hane;mat;stk
7043180091928;Krydrede Og Grillede Lår;Den Stolte Hane;mat;stk
7043180094226;Lollipopp Kylling;Den Stolte Hane;mat;stk
7043180097821;Kylling Lårfilet Havsalt Og Pepper;Den Stolte Habe;mat;stk
7043180097920;Lollipopwings;Den Stolte Hane;mat;stk
7043180098026;Lollipop Wings;Den Stolte Hane;mat;stk
7043180099320;Crispy Chicken Nuggets 500g;Den Stolte Hane;mat;stk
7043180099429;Chicken Kebab Shawarma;Den Stolte Hane Snack King;mat;stk
7043180099528;Chicken Hot Wings;Snack King;mat;stk
7043180099627;Crispy Chicken Burger;Den Stolte Hane;mat;stk
7043180100125;Smokey Barbeque Kyllingfilet;Den Stolte Hane;mat;stk
7043180100224;Spiseklar sweet chili tynnskåret kyllingfilet;;mat;stk
7043180100323;Grillet & Krydret Salatkjøtt Av Kylling Fra Jæren;Den Stolte Hane;mat;stk
7043180100422;Grillet Lårfilet;Den Stolte Hane;mat;stk
7043180101429;Spiseklar Havsalt & Pepper Kylling Lårdilet;Den Stolte Hane;mat;stk
7043180101528;Rå, fryste kyllingburgere 780 gram;Den stolte hane;mat;stk
7043180103522;Kyllingfilet Krønsj Pepper & Urter;Den Stolte Hane;mat;stk
7043180103621;Kylling Indrefilet Krønsj;Den Stolte Hane;mat;stk
7043180105922;Spiseklar Provence Kyllingfilet 200 gram;Den Stolte Hanen;mat;stk
7043180107223;Saftig Lårfilet Av Kylling;Den Stolte Hane;mat;stk
7043180107629;Kyllingbryst;Den Stolte Hane;mat;stk
7043180107827;Kyllingbryst Med Skinn;Den Stolte Hane;mat;stk
7043180108329;Kjøttboller Av Kylling;Den Stolte Hane;mat;stk
7043180108428;Lollipop Kyllingvinger;Den Store Hane;mat;stk
7043180108527;Lillipop Kyllingvinger Snill Pepper;Den Stolte Hane;mat;stk
7043180108626;Kyllingvinger Bbq;Den Stolte Hane;mat;stk
7043180111121;Crispy Chicken Nuggets;Den Stolte Hane;mat;stk
70432152;Instant pot cheesy;Picard;mat;stk
70432213;Caffeine Energy Bar - Verb;;mat;stk
7043259043704;Fruity Sours;Jolly Ranchers;mat;stk
7043306417632;Picolé;;mat;stk
7043364009923;Kerrygold frisch & cremig Kräuter;Kerrygold;mat;stk
7043410000423;Stort Frøhorn med Valmuefrø;Bakehuset;mat;stk
7043436285682;Bolinho sem glúten de baunilha com recheio sabor avelã;;mat;stk
7043500020294;Chia;Mi tierra;mat;stk
7043570001056;Den Originale Wienertoastem;Kanda;mat;stk
7043570004781;Vegan Hamburgerdressing 300 ml 300 ml;KANDA AS;mat;stk
7043570004828;Greek Style Dressing;Kanda;mat;stk
7043570004897;Kanda Kebabdressin Medium;SPESIALGROSSISTEN AS;mat;stk
7043570004903;Hamburgerdressing 300 g 300 g;KANDA AS;mat;stk
7043570004910;Bearnaisesaus 300ml Kanda 300 ml;Kanda as;mat;stk
7043570004934;Hvitløksdressing 300 g 300 g;KANDA AS;mat;stk
7043570004941;Kanda Bbq Saus 300ml;SPESIALGROSSISTEN AS;mat;stk
7043570004989;Kebabdressing Mild;KANDA AS;mat;stk
7043570004996;Kebabdressing Sterk 300 ml;KANDA AS;mat;stk
7043570006716;Kebab Av Storfekjøtt Til 2 Personer, 300 g 300 g;KANDA AS;mat;stk
